"Star_key":"S_NAME":"distance":"EFFECTIVE TEMPERATURE":"Relative Mass":"Star Radius":"RELATIVE LUMINOSITY":"Type Of Star"
372:"Bossangoa":782,67:5216:1:1,07:0,99:"G5V"
1149:"Hudeiba":296,021:5464:1:0,99:1,35:"G5V"
1083:"Helen":58,324:2681:0,2:0,35:0,08:"M6V"
2271:"Segerica":407,856:4732:0,7:0,71:0,42:"K1V"
3102:"Lemnos":1009,009:2635:0,1:0,41:0,03:"M7V"
277:"Baxter":116,922:2562:0,1:0,5:0,03:"M2V"
517:"Champadanga":438,825:4417:0,6:0,84:0,27:"K3V"
317:"Bethonolog":404,338:4016:0,7:0,77:0,55:"K3V"
2376:"Sophie's World":167,077:2481:0,1:0,55:0,07:"M8V"
957:"Gingeria":565,302:2611:0,1:0,51:0,06:"M5V"
2193:"Ryde":102,323:2527:0,4:0,26:0,06:"M5V"
1609:"Marik":109,575:5017:0,7:0,77:0,52:"K0V"
1741:"Molokai":321,508:5458:0,9:0,97:1,36:"G4V"
343:"Blida":293,304:3260:0,4:0,12:0,05:"M3V"
2928:"Arcadia":1612,952:2589:0,4:0,63:0,04:"M2V"
495:"Catroxx":97,864:2474:0,3:0,43:0,05:"M2V"
2545:"Tikonov":111,166:5397:0,9:1,04:0,75:"G5V"
1064:"Hassad":163,391:3088:0,1:0,13:0,06:"M4V"
1084:"Heliat":501,374:3123:0,2:0,22:0,02:"M1V"
548:"Choex":456,594:4113:0,6:0,88:0,09:"K2V"
61:"Aldrecht":174,724:3979:0,7:0,79:0,41:"K3V"
2055:"Portland":516,729:3108:0,2:0,48:0,07:"M4V"
1576:"Malibu":404,844:2928:0,4:0,57:0,07:"M3V"
2855:"Fasa":1632,008:4049:0,8:0,82:0,54:"K3V"
765:"Eaton":138,705:2564:0,2:0,54:0,07:"M5V"
659:"Danli":721,219:2765:0,1:0,46:0,03:"M1V"
825:"Estuan":501,303:4560:0,5:0,89:0,47:"K0V"
795:"Elnath":128,562:3443:0,4:0,66:0,07:"M0V"
2747:"Westerhand":276,138:2459:0,4:0,57:0,05:"M8V"
904:"Fronde":251,67:3843:0,8:0,94:0,35:"K6V"
2119:"Raphael":318,112:4546:0,6:0,79:0,4:"K3V"
2500:"Taurus":435,328:2524:0,4:0,49:0,04:"M1V"
2441:"Susquehanna":423,748:2646:0,1:0,08:0,06:"M2V"
3144:"Amnesty":431,486:2767:0,3:0,52:0,04:"M5V"
693:"Derf":415,791:2605:0,2:0,18:0,03:"M4V"
1843:"New Port Royal":691,486:2546:0,3:0,56:0,03:"M7V"
1614:"Markesan":233,831:4301:0,5:0,93:0,5:"K0V"
342:"Blandou":305,857:2904:0,1:0,44:0,06:"M2V"
736:"Dover":241,061:3009:0,3:0,58:0,01:"M2V"
1229:"Jacson":363,683:3725:0,5:0,71:0,58:"K7V"
1692:"Metter":542,192:4030:0,8:0,76:0,28:"K5V"
1378:"Kluane":279,713:3603:0,2:0,41:0,02:"M0V"
73:"Alioth":60,559:NA:0,3:0,39:0,07:"M1V"
952:"Gibson":326,654:3126:0,4:0,35:NA:"M3V"
507:"Cerignola":435,399:5325:1:NA:0,93:"G4V"
2422:"Streator":265,155:2932:0,2:0,32:0,05:"M0V"
596:"Cordiagr":192,582:2713:0,4:0,28:0,01:"M4V"
3033:"Star Cluster P24":1572,035:2843:0,2:0,22:0,04:"M3V"
98:"Altais":115,948:5503:0,9:1,15:0,87:"G5V"
572:"Colchester":305,568:4199:0,5:0,82:0,13:"K2V"
2330:"Sierpc":291,602:2763:0,2:0,49:0,07:"M6V"
527:"Chaumont":360,996:2439:0,3:0,66:0,03:"M4V"
1603:"Marawi":272,134:2880:0,3:0,23:0,02:"M2V"
679:"Delacruz":389,291:3339:0,4:0,09:NA:"M2V"
112:"Ambatomainty":722,916:2425:0,2:0,27:0,04:"M1V"
276:"Baxley":457,489:2703:0,4:0,67:0,04:"M1V"
873:"Finse":557,055:3050:0,2:0,07:0,06:"M1V"
535:"Chesterton":135,698:5392:0,9:1,05:1,2:"G5V"
2499:"Taumaturgo":764,22:3836:0,6:0,79:0,49:"K7V"
13:"Abushiri":422,123:2528:0,2:0,66:0,06:"M8V"
1238:"Jasmine":204,513:3738:0,8:0,71:NA:"K6V"
2663:"Várri":549,157:4032:0,7:0,82:0,21:"K5V"
326:"Bilma":339,826:2967:0,4:0,31:NA:"M5V"
1431:"Kwangchowwang":418,747:NA:0,8:0,85:0,51:"K3V"
857:"Feijo":734,962:2906:0,4:0,54:0,04:"M4V"
33:"Adrar":409,256:2504:0,3:0,63:0,07:"M8V"
2091:"Quelimane":605,68:2569:0,1:0,62:0,03:"M5V"
183:"Arromanches":432,784:4209:0,6:0,88:0,43:"K1V"
2115:"Ramona":331,278:2544:0,2:0,27:0,06:"M7V"
901:"Freedom":125,455:2618:0,1:0,65:0,07:"M6V"
2985:"Bremen":1131,231:2889:0,2:0,46:0,02:"M1V"
639:"Custozza":650,251:2526:0,2:0,16:0,03:"M8V"
246:"Ballynure":259,651:2439:0,2:0,21:0,05:"M1V"
409:"Brusett":409,833:2479:0,4:0,2:0,02:"M2V"
2303:"Sheratan":46,156:2430:0,3:0,25:0,03:"M2V"
2385:"Spica":255,008:3717:0,7:0,81:0,38:"K2V"
3073:"Shahhat":982,806:2880:0,4:NA:0,01:"M5V"
1840:"New Mendham":188,716:3771:0,7:0,76:0,18:"K7V"
2839:"Zinal":527,101:4010:0,5:0,79:0,5:"K6V"
2549:"Timkovichi":315,97:3108:0,1:0,45:0,06:"M4V"
2561:"Tok Do":202,554:2598:0,2:0,2:0,07:"M6V"
1803:"Necedah":353,968:2725:0,4:0,68:0,04:"M6V"
1377:"Klenkar":557,398:3076:0,1:0,42:0,07:"M4V"
1037:"Halfway":266,805:3929:0,8:NA:0,6:"K7V"
1726:"Mithron":427,278:2894:0,2:0,1:NA:"M5V"
1731:"Mizt":680,623:5613:1:1,06:1,07:"G4V"
1861:"Newcastle":276,04:3952:0,7:NA:0,32:"K5V"
1798:"Narellan":305,878:2776:0,3:0,36:0,05:"M5V"
1504:"Lockdale":40,357:2846:0,3:0,65:0,07:"M3V"
394:"Brinton":432,987:2527:0,2:0,34:0,07:"M5V"
1757:"Morges":316,541:4967:0,7:0,88:0,12:"K1V"
3129:"Ålborg":744,608:2780:0,3:0,4:NA:"M4V"
2878:"Suetonius":514,692:5337:0,9:1,12:0,76:"G4V"
1923:"O'Fallon":324,418:2512:0,4:0,55:0,05:"M4V"
316:"Bethel":231,664:3962:0,6:0,96:0,49:"K7V"
2987:"Danzig":1064,164:4304:0,7:0,74:0,43:"K2V"
123:"Anaea":182,557:3972:0,8:0,76:0,29:"K6V"
951:"Gibraltar":385,851:2666:0,2:0,24:0,07:"M3V"
1823:"New Crete":204,428:2401:0,2:0,1:0,07:"M5V"
708:"Dicallus":506,271:5326:0,8:1,1:0,85:"G2V"
1011:"Groveld":403,243:4462:0,8:0,8:0,29:"K2V"
1745:"Monongahela":233,826:2474:0,1:0,44:0,07:"M5V"
218:"Avellaneda":100,437:5703:0,9:1,1:NA:"G2V"
2201:"Sackville":411,845:2611:0,2:0,24:0,04:"M4V"
1246:"Jeppens":600,4:3945:0,8:0,87:0,3:"K5V"
45:"Aitutaki":234,196:2853:0,2:0,16:0,07:"M1V"
1000:"Great X":341,879:4139:0,8:0,94:0,47:"K2V"
1869:"Nihal":313,861:NA:0,2:0,13:0,03:"M0V"
995:"Graus":313,792:2696:0,2:0,58:0,02:"M1V"
2122:"Rasalgethi":216,273:2489:0,3:0,62:0,04:"M2V"
292:"Bell":151,397:2824:0,1:0,17:0,03:"M0V"
362:"Bone-Norman":463,592:3801:0,7:NA:0,45:"K5V"
3018:"Bazaar":755,254:3851:0,8:0,86:0,56:"K7V"
908:"Fukuroi":173,854:2785:0,2:0,53:0,03:"M0V"
2930:"Babylon":1605,647:3964:0,6:0,71:0,15:"K7V"
2536:"Thraxa":496,608:2722:0,2:0,09:0,07:"M2V"
1542:"Luzerne":373,112:3061:0,4:0,31:0,02:"M2V"
907:"Fujidera":238,152:2434:0,1:0,51:0,06:"M8V"
1029:"Hadnall":296,156:4061:0,5:0,89:0,55:"K5V"
2434:"Summerstide":551,739:2724:0,4:NA:0,05:"M3V"
147:"Antias":386,847:2623:0,4:0,13:0,03:"M5V"
2054:"Port Vail":546,183:2491:0,1:0,58:0,02:"M8V"
2153:"Ridderkerk":354,281:3073:0,4:NA:0,07:"M2V"
1948:"Oriente":224,762:4828:0,6:0,73:0,32:"K2V"
1564:"Mahrah":469,515:2702:0,3:0,28:0,04:"M5V"
1444:"Lahti":451,425:2453:0,2:0,3:0,01:"M3V"
376:"Boulsi":800,983:2886:0,3:0,59:0,02:"M3V"
44:"Aiguebelle":398,048:3211:0,2:0,23:0,01:"M2V"
1751:"Montsegur":459,177:2508:0,4:0,09:0,07:"M3V"
2205:"Safe Port":316,904:2518:0,3:0,46:0,02:"M8V"
3031:"Star Cluster A51":1580,127:2950:0,4:0,33:0,04:"M0V"
3163:"Pyrrhus":491,769:4287:0,5:0,86:0,11:"K3V"
36:"Afarsin":428,482:3193:0,4:NA:0,05:"M3V"
540:"Chilung":276,327:2722:0,2:0,24:0,07:"M3V"
2488:"Tapachula":336,271:3929:0,5:0,77:0,39:"K7V"
322:"Bhykov":238,808:NA:0,7:0,85:0,45:"K2V"
2306:"Shiba":331,187:3115:0,2:0,43:0,02:"M3V"
3063:"The Eyes in the Dark":982,065:3726:0,7:0,74:0,26:"K7V"
413:"Bucklands":464,408:2830:0,1:0,42:0,03:"M3V"
2014:"Pernik":346,195:3068:0,4:0,44:0,03:"M1V"
2951:"Londerholm":1873,158:5297:0,9:1,08:1,17:"G2V"
1623:"Matamoras":430,949:2760:0,3:0,11:0,06:"M2V"
1305:"Katlehong":333,063:3823:0,5:0,78:0,52:"K0V"
1150:"Huesta":433,301:2786:0,4:0,09:0,04:"M1V"
2191:"Rushaven":518,464:4141:0,5:0,81:0,35:"K5V"
2447:"Svelvik":411,832:4287:0,5:0,83:0,35:"K0V"
1680:"Merak":134,73:3745:0,5:0,77:0,51:"K6V"
2300:"Sheliak":297,041:4059:0,5:0,85:0,35:"K0V"
448:"Calvados":459,103:2949:0,4:0,37:0,02:"M5V"
2128:"Reese Station":338,807:2849:0,2:0,54:0,06:"M4V"
758:"Duxford":569,698:4566:0,5:0,88:0,21:"K2V"
935:"Gannett":176,158:4151:0,6:0,95:0,57:"K2V"
2397:"Stantsiya":393,387:2631:0,4:NA:0,02:"M4V"
2585:"Trinidad":284,914:2560:0,4:NA:0,03:"M3V"
3078:"Drachenfeld":1187,328:3382:0,3:0,23:0,05:"M2V"
1784:"Naco":571,712:NA:0,4:0,33:0,02:"M4V"
1822:"New Ceylon":458,232:3145:0,3:0,34:0,04:"M3V"
2613:"Udibi":323,735:3815:0,5:0,83:0,22:"K5V"
1499:"Lipton":34,466:2775:0,2:0,08:NA:"M6V"
1596:"Manteno":202,418:2489:0,4:0,51:0,06:"M5V"
837:"Exeter":188,604:5597:0,9:1,09:1,26:"G4V"
2803:"York":302,048:3993:0,7:0,74:0,35:"K5V"
444:"Callisto":199,615:2535:0,4:0,25:0,01:"M5V"
2924:"Spitz":482,731:3344:0,4:0,45:0,04:"M1V"
2753:"Wheel":266,662:5758:0,8:1,1:1,17:"G2V"
805:"Engadine":499,328:3196:0,1:0,41:0,04:"M1V"
1655:"Megaris":441,599:2452:0,4:0,39:0,02:"M8V"
1448:"Lamu":239,315:2438:0,3:0,4:0,04:"M3V"
545:"Chisholm":50,997:4570:0,7:0,9:0,21:"K3V"
2103:"Raballa":159,227:5421:1:1,04:1,06:"G3V"
1808:"Neosho":550,399:2665:0,4:0,45:0,05:"M7V"
2480:"Tangua":410,358:4360:0,7:0,85:0,58:"K2V"
623:"Crichton":631,382:3039:0,2:0,46:0,07:"M3V"
600:"Coriscana":217,338:2663:0,2:0,35:0,03:"M7V"
170:"Arganda":158,986:3134:0,2:0,56:0,05:"M3V"
2276:"Semichi":368,655:2900:0,2:0,41:0,03:"M5V"
1385:"Kogl":396,438:2409:0,3:0,36:0,01:"M2V"
778:"Eion":377,699:2497:0,2:0,27:0,03:"M3V"
963:"Gladius":119,815:3081:0,1:0,29:0,08:"M2V"
2546:"Timbiqui":338,95:2499:0,3:0,63:0,02:"M5V"
1170:"Ictus":578,076:2698:0,1:0,26:0,06:"M0V"
559:"Cimeron":372,243:2889:0,4:0,66:0,02:"M5V"
2983:"Bergen":1067,64:3186:0,2:0,7:0,03:"M3V"
568:"Clipperton":322,215:2625:0,1:0,21:0,08:"M1V"
2627:"Umka":384,004:NA:0,1:0,63:0,03:"M3V"
2743:"Weldon":439,52:4452:0,7:0,73:0,45:"K3V"
890:"Fomalhaut":21,609:3267:0,2:0,59:0,06:"M2V"
2563:"Tomans":228,019:5251:1:1,07:1,01:"G4V"
2028:"Pilkhua":208,949:3140:0,2:0,7:0,02:"M0V"
671:"De Berry":451,018:2429:0,4:0,44:0,04:"M6V"
2623:"Ulvskollen":618,155:4254:0,7:0,75:0,48:"K2V"
1928:"Okains":361,02:3309:0,1:0,23:0,07:"M0V"
3121:"Rim Worlds Republic Outpost #11":1635,14:5688:0,9:1,14:0,81:"G2V"
207:"Aubisson":146,58:2520:0,1:0,66:0,04:"M8V"
1693:"Mezzana":367,429:2463:0,3:0,63:0,06:"M3V"
1015:"Guangzho":305,802:4115:0,5:0,71:0,42:"K5V"
867:"Fieferana":319,68:2604:0,4:0,39:0,08:"M0V"
1610:"Maripa":781,308:3040:0,3:0,6:0,02:"M2V"
574:"Cole Harbour":316,492:3414:0,2:0,08:0,06:"M1V"
694:"Des Arc":503,544:2941:0,3:0,28:0,02:"M1V"
1168:"Ichlangis":413,894:4793:0,8:0,71:0,45:"K0V"
1770:"Mumbai":250,209:3700:0,6:0,84:0,55:"K6V"
190:"Asgard":294,792:2584:0,2:0,31:0,02:"M3V"
726:"Dobson":205,89:3437:0,1:0,34:0,02:"M1V"
1023:"Gustrell":471,382:2634:0,4:0,37:0,07:"M2V"
1900:"Novara":384,151:3032:0,4:0,13:0,01:"M3V"
2479:"Tangipahoa":589,739:2620:0,1:0,35:0,07:"M1V"
2224:"San Carlos":601,903:2485:0,1:0,24:0,03:"M8V"
2226:"Sanda":376,883:2405:0,3:0,58:0,03:"M2V"
1786:"Nagel":471,013:NA:0,1:0,37:0,01:"M2V"
1322:"Kelang":409,796:3030:0,2:0,42:0,02:"M3V"
769:"Edasich":154,458:2770:0,3:0,61:0,05:"M3V"
2342:"Simpson Desert":289,177:4299:0,7:0,88:0,43:"K2V"
1354:"Kimball":105,922:3880:0,8:0,91:0,59:"K6V"
191:"Ashburton":298,293:2696:0,3:0,41:0,06:"M2V"
251:"Bandora":177,856:3177:0,4:0,24:0,08:"M0V"
3131:"Carcri":710,395:4134:0,5:0,81:0,44:"K5V"
1718:"Mira":115,735:4175:0,5:0,95:0,2:"K0V"
565:"Clearfield":420,429:3341:0,1:0,66:0,07:"M2V"
1412:"Krenice":237,188:3959:0,5:0,89:0,38:"K7V"
1116:"Hirtshals":605,101:4395:0,5:0,95:0,31:"K3V"
37:"Afleir":51,367:2754:0,1:0,15:0,06:"M4V"
404:"Brookeland":445,817:3895:0,7:0,84:0,11:"K2V"
2714:"Waldorff":382,194:3777:0,7:0,83:0,43:"K2V"
3141:"Juniper":132,106:2782:0,3:0,41:0,01:"M5V"
1361:"Kirkcaldy":159,557:2496:0,2:0,44:0,03:"M7V"
1572:"Malagrotta":506,747:2569:0,2:0,08:0,02:"M5V"
2315:"Shipka":136,617:3368:0,2:0,28:0,06:"M1V"
357:"Bogerth":265,277:2499:0,4:NA:0,03:"M5V"
401:"Brockway":417,507:4354:0,6:0,89:0,27:"K3V"
1239:"Jászberény":177,276:3763:0,7:0,92:0,36:"K1V"
771:"Edmondson":353,987:2770:0,1:0,66:0,04:"M6V"
625:"Crofton":528,715:2534:0,2:0,4:0,01:"M1V"
2228:"Santa-Ana":698,225:2553:0,4:0,64:0,06:"M5V"
2788:"Xieng Khouang":323,221:NA:0,2:0,6:0,05:"M3V"
3069:"Ksabi":1045,343:4310:0,5:0,82:0,11:"K0V"
1881:"No Return":186,091:2890:0,2:0,65:0,05:"M2V"
2624:"Ulysses":413,701:2667:0,1:0,68:0,02:"M3V"
1202:"Inner End":592,086:2470:0,3:0,53:0,01:"M2V"
934:"Gangtok":491,293:2464:0,3:0,53:NA:"M3V"
2445:"Svalstad":525,709:3804:0,5:0,8:0,52:"K2V"
621:"Cresson":554,06:3988:0,7:0,74:0,58:"K5V"
1637:"Maynard":304,505:5367:1:1,01:0,97:"G3V"
2007:"Pencader":354,437:4635:0,5:0,82:0,3:"K3V"
293:"Bell":579,19:3941:0,5:0,88:0,54:"K5V"
893:"Ford":193,561:2416:0,2:0,14:0,03:"M7V"
323:"Bicester":272,122:5471:1:0,96:1,45:"G2V"
2996:"Kalmar":1193,507:5638:0,9:1,11:1,41:"G2V"
2382:"Sparrevohn":391,961:NA:0,3:0,35:0,03:"M1V"
2156:"Rijeka":352,036:4573:0,7:0,93:0,59:"K2V"
1733:"Mkuranga":355,783:4008:0,6:0,73:0,36:"K7V"
2888:"Carvajal":603,335:4081:0,5:0,93:0,6:"K5V"
384:"Braum":332,168:3200:0,4:0,1:0,07:"M3V"
2604:"Turko":248,574:3036:0,1:0,58:0,08:"M2V"
1271:"Junior":399,621:4742:0,7:0,94:0,2:"K2V"
2740:"Weistheimer":574,024:2489:0,3:0,11:0,03:"M3V"
165:"Arcadia":186,516:4445:0,8:0,9:0,36:"K3V"
2085:"Qandahar":478,908:3428:0,2:0,58:0,04:"M1V"
2603:"Turkalia":304,931:2652:0,3:0,44:0,04:"M5V"
3085:"Rim Worlds Republic Outpost #4":1773,572:3320:0,2:0,6:0,07:"M0V"
1297:"Karkkila":443,122:4174:0,6:0,79:0,54:"K2V"
3114:"Knechee":1888,354:3780:0,5:0,75:0,27:"K5V"
477:"Carmacks":299,777:3951:0,6:0,79:0,24:"K3V"
2634:"Upano":291,766:5616:0,9:1,01:1:"G4V"
2356:"Skye":76,743:NA:0,2:0,55:0,07:"M3V"
1310:"Kaus Media":80,461:2863:0,4:0,62:0,03:"M5V"
24:"Ad Duwayd":520,786:5317:0,9:1,13:1,03:"G4V"
2678:"Versailles":222,488:4086:0,7:0,95:0,57:"K2V"
1307:"Kaumberg":413,871:4016:0,5:0,93:0,19:"K7V"
848:"Famdo":597,46:4182:0,5:0,88:0,16:"K2V"
2662:"Vargtass":523,983:3247:0,2:0,43:0,06:"M3V"
3125:"Star Cluster 889":1728,166:2507:0,3:0,66:0,04:"M1V"
118:"Amity":132,585:4036:0,5:0,95:0,37:"K3V"
2121:"Rasalas":177,601:2818:0,3:0,31:0,07:"M2V"
1290:"Kannon":125,012:2984:0,4:0,66:0,04:"M1V"
1268:"Junction":156,246:2832:0,2:0,21:0,08:"M2V"
20:"Acoma":232,892:4704:0,6:0,87:0,16:"K2V"
1983:"Parakoila":348,886:3403:0,3:0,28:0,06:"M1V"
787:"Elektrougli":216,119:2405:0,4:0,34:NA:"M1V"
1183:"Ilmachna":108,502:4446:0,7:0,8:0,3:"K0V"
1396:"Kookens Pleasure Pit":383,267:2734:0,4:0,6:0,01:"M3V"
1494:"Ling":128,8:3972:0,6:0,75:0,24:"K5V"
1409:"Kowloon":469,383:3952:0,5:0,86:0,09:"K7V"
1955:"Osumi":157,352:3178:0,3:0,53:0,03:"M2V"
